Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Sin dato,Sin dato,Sin dato,Datos erroneos no confiables de Sale-U,Sin dato,Sin dato,Sin dato,-,Sin datos,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,34,40,36,27,38,40,34,34,38,30,41,41,35,37,0.0,Conversion,Año actual ,Ultimos 3 meses 
Sin dato,Sin dato,Sin dato,Datos erroneos no confiables de Sale-U,Sin dato,Sin dato,Sin dato,-,Sin datos,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,34,40,36,27,38,40,34,34,38,30,41,41,35,37,0.0,Conversion,Año actual ,Ultimos 3 meses 
Ventas X Mes ,Ventas Reportadas,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,34,40,36,27,38,40,34,34,38,30,41,41,35,37,0.0,Conversion,Año actual ,Ultimos 3 meses 
Piso,Ventas Reportadas,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,"Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Conversion,Año actual ,Ultimos 3 meses 
Piso ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Historica,Año actual ,Ultimos 3 meses 
Leads ,329,19,76,87,55,92,77,57,43,50,64,71,64,80,43,65,59,63,71,58,72,81,76,97,94,105,79,115,85,36,0.0,0.12514482234473656,0.08901848605066053,0.10719889496800372
Efectivos ,329,19,76,87,55,92,77,57,43,50,64,71,64,80,43,65,59,63,71,58,72,81,76,97,94,105,79,115,84,36,0.0,Aporte,Año actual ,Ultimos 3 meses 
SDC ,-,-,-,-,-,51,32,28,38,32,42,34,23,28,13,16,13,12,22,21,24,21,27,27,18,24,18,24,22,7,0.0,Aporte,Año actual ,Ultimos 3 meses 
PDM ,22,13,35,40,28,35,31,28,14,25,32,28,33,32,28,34,31,29,44,31,48,43,22,46,28,41,36,45,42,16,0.0,Historica,Año actual ,Ultimos 3 meses 
Citas Programadas ,9,28,15,38,78,75,65,37,31,18,42,71,64,80,34,65,59,63,71,58,72,81,76,97,94,105,12,73,28,11,0.0,0.29422172988141276,0.23010964762456118,0.24083745950241459
